1;2;"523/2010";2;4;19/03/2010;23/03/2010;05/10/2013;133;1;132;;696648486.09;;696648486.09;"Execução de obras e serviços visando à adequação às exigências FIFA para reforma e ampliação da capacidade de público do Estádio Nacional de Brasília, consistindo nos trabalhos de desenvolvimento de projeto executivo dos sistemas especiais de tecnologia, "broad-casting"; execução das obras civis de recuperação estrutural da atual estrutura de arquibancadas, obras civis para adaptação e ampliação das novas arquibancadas, rebaixamento do nível do gramado, construção dos demais ambientes contidos no projeto executivo de engenharia, assim como, a execução das instalações e dos sistemas elétricos, hidráulicos, ar-condicionado e de segurança. Este contrato contempla os serviços de rede eletrônica e de iluminação.";76;FALSE;FALSE;;4;TRUE;FALSE;;;;;;;;;;;;;;;;;
2;3;"009/2010";2;4;20/04/2010;20/04/2010;03/06/2013;481;1;357;;342060007.96;;342060007.96;"Prestação de serviços de engenharia para execução completa e perfeita dos serviços de construção da Arena Multiuso , o “Novo Verdão”, em Cuiabá – MT";73;FALSE;FALSE;;4;TRUE;FALSE;;;;;;;;;;;;;;;;;
5;6;"01/2011";2;6;31/10/2011;31/10/2011;31/10/2031;112;1;136;;400000000.00;;400000000.00;"Demolição e remoção do Machadão e Machadinho, construção, manutenção e gertão da operação do Estádio das Dunas – Novo Machadão e de seu estacionamento";1;FALSE;FALSE;;4;TRUE;FALSE;;;;;;;;;;;;;;;;;
6;26;"TC0016-EG/2009/0058";3;4;13/02/2009;23/03/2009;17/03/2010;107;1;219;;3259418.54;;3259418.54;"Estudo preliminar e projeto básico de reforma do Terminal de Passageiros - TPS.";;FALSE;FALSE;;4;TRUE;FALSE;;;;;;;;;;;;;;;;;
8;11;"CV0008/2009/0001";3;7;23/10/2009;17/11/2009;17/11/2010;107;1;220;;60877139.46;0.01;60877139.47;"Execução de obras e serviços de engenharia para implantação do Novo Complexo Aeroportuário da Grande Natal, em São Gonçalo do Amarante – RN.";;FALSE;FALSE;;4;TRUE;FALSE;;;;;;;;;;;;;;;;;
9;8;"TC 0068-EG/2010/0057";2;3;06/08/2010;06/08/2010;26/04/2012;107;1;222;;22647982.25;;22647982.25;"Elaboração dos projeto de engenharia, nas etapas de serviços e estudos preliminares, projeto básico, projeto executivo e serviços complementares para construção do terceiro terminal de passageiros, do edifício garegem do sistema viário de acesso, do pátio de";594;FALSE;FALSE;;4;TRUE;FALSE;;;;;;;;;;;;;;;;;
10;50;"101/2010";2;4;13/08/2010;16/08/2010;01/02/2013;115;1;224;;705589143.72;0.00;705589143.72;"Elaboração de Projeto Executivo e Execução de Obras de Reforma e Adequação do Complexo Maracanã";75;FALSE;FALSE;;4;TRUE;FALSE;;;;;;;;;;;;;;;;;
11;9;"TC 0091-ST/2009/0010";2;3;26/08/2009;23/06/2009;16/11/2010;107;1;219;;5377454.96;;5377454.96;"Contratação dos serviços técnicos profissionais especializados para a elaboração dos projetos básicos da nova área terminal do Aeroporto Internacional Pinto Martins/Fortaleza, em Fortaleza-CE.";77;FALSE;FALSE;;4;TRUE;FALSE;;;;;;;;;;;;;;;;;
12;4;"001/2010";2;6;26/11/2010;26/11/2010;29/11/2018;229;1;228;;518606000.00;;518606000.00;"Reforma, ampliação, adequação, operação e manutenção do Estádio Plácido Aderaldo Castelo (Castelão), bem como para a construção, operação e manutenção de edifício de estacionamentos de veículos e a construção e manutenção do edifício-sede da Secretaria do Esporte do Estado do Ceará.";78;FALSE;FALSE;;4;TRUE;FALSE;;;;;;;;;;;;;;;;;
13;5;"44/2010";2;4;01/07/2010;01/07/2010;01/07/2013;230;1;132;;499508704.17;;499508704.17;"Execução de obras civis, estrutura de cobertura metálica, estruturas elétricas, estruturas hidráulicas, instalação dos sistemas de ar condicionado, de segurança, broadcasting e todos os demais ambientes contidos nos Projetos da Arena Amazônia – Amazonas, em Manaus/AM.";79;FALSE;FALSE;;4;TRUE;FALSE;;;;;;;;;;;;;;;;;
14;7;"01/2010";2;6;15/06/2010;15/06/2010;15/06/2043;119;1;139;;379263314.00;0.00;379263314.00;"Concessão Administrativa para exploração da Arena Multiuso da Copa 2014, precedida da execução de obras de construção da arena";2;FALSE;FALSE;;4;TRUE;FALSE;;;;;;;;;;;;;;;;;
