1;"13085781";"CONVENIO - FUCAPES/FNDE                      ";2010;
2;"13085788";"CONVENIO - FUCAPES/FNDE                      ";2010;
3;"13085790";"CONVENIO - FUCAPES/FNDE                      ";2010;
4;"13085802";"CONVENIO - FUCAPES/FNDE                      ";2010;
5;"13085804";"RECURSOS DE CONVENIO - FNDE                  ";2010;
6;"13085806";"RECURSOS DE CONVENIO - FNDE                  ";2010;
7;"13085808";"CONVENIO N.4243                              ";2010;
8;"13085809";"RECURSOS DE CONVENIO - FNDE                  ";2010;
9;"13085810";"CONVENIO - FUCAPES                           ";2010;
10;"13085815";"CONVENIO - FUCAPES/FNDE                      ";2010;
11;"13085818";"CONVENIO - FUCAPES/FNDE                      ";2010;
12;"13085819";"CONVENIO - FUCAPES/FNDE                      ";2010;
13;"13085820";"CONVENIO - FNDE                              ";2010;
14;"13085822";"CONVENIO - FUCAPES/FNDE                      ";2010;
15;"13085823";"CONVENIO - FUCAPES/FNDE                      ";2010;
16;"13085825";"CONVENIO - FNDE                              ";2010;
17;"13085829";"CONVENIO - FUCAPES/FNDE                      ";2010;
18;"13085830";"CONVENIO - FUCAPES/FNDE                      ";2010;
19;"13085833";"CONVENIO - FUCAPES/FNDE                      ";2010;
20;"13085835";"CONVENIO - FUCAPES/FNDE                      ";2010;
21;"13085839";"CONVENIO - FUCAPES/FNDE                      ";2010;
22;"13085840";"CONVENIO - FUCAPES/FNDE                      ";2010;
23;"13085842";"CONVENIO - FUCAPES/FNDE                      ";2010;
24;"13085845";"CONVENIO - FUCAPES/FNDE                      ";2010;
25;"13085886";"CONVENIO - FNDE                              ";2010;
26;"13085887";"CONVENIO/FNDE                                ";2010;
27;"13085888";"CONVENIO/FNDE                                ";2010;
28;"13086013";"CONVENIO - FNDE                              ";2010;
29;"13086041";"CONVENIO - FNDE                              ";2010;
30;"13086234";"CONVENIO - FNDE                              ";2010;
31;"13086235";"CONVENIO - FNDE                              ";2010;
32;"13086389";"CONVENIO - FNDE/FUCAPES                      ";2010;
33;"13086390";"CONVENIO - FUCAPES/FNDE                      ";2010;
34;"13086391";"CONVENIO - FUCAPES/FNDE                      ";2010;
35;"13086392";"CONVENIO - FUCAPES/FNDE                      ";2010;
36;"13086632";"CONVENIO - FNDE                              ";2010;
37;"13087098";"CONVENIO - FUCAPES/FNDE                      ";2010;
38;"13087105";"CONVENIO - FUCAPES/FNDE                      ";2010;
39;"13087107";"CONVENIO - FUCAPES/FNDE                      ";2010;
40;"13087157";"CONVENIO - FNDE                              ";2010;
41;"13087158";"CONVENIO - FNDE                              ";2010;
42;"13087884";"CONVENIO (4901) - FAE/FNDE                   ";2010;
