1;"01";12/07/2011;24/11/2010;15/12/2025;0.00;"Inclusão/alteração de cláusulas contratuais";TRUE;1;0.00;0.00;;FALSE;FALSE;
4;"1º";31/03/2011;;;;"Alteração da planilha de quantidades e preços, com redução e acréscimo de itens, sem alteração de valor e apresentação do novo cronograma físico-financeiro do Contrato.";TRUE;;0.00;0.00;10;FALSE;FALSE;
5;"2º";09/08/2011;;;;"Expectativa de as partes promoverem as devidas suspensões de exigibilidade das contribuições e dos impostos contemplandos no RECOPA, previstos no art. 2º da Instrução Normativa RFB n. 1.176, de 22/07/2011. As partes se comprometem à promoverem, oportunamente a repactuação contratual decorrente dessas suspensões.";TRUE;;0.00;0.00;10;FALSE;FALSE;
6;"3º";31/10/2011;;;;"Foi alterada a planilha de quantidades e preços com redução e acréscimo de itens e inclusão de itens novos, O valor contratual passou a ser de R$784.887.252,01. Ficou pactuado o novo prazo de  para a conclusão da obra o dia 28/02/2013.";TRUE;;79298108.29;;10;FALSE;FALSE;
7;"4º";07/12/2011;;;;"Formalização da Planilha Estimativa de Desoneração desenvolvida com base nas atividades atreladas aos fatos geradores relacionados ao RECOPA a qual será empregada na revisão do valor contratual decorrente da incorporação dos benefícios fiscais contemplados.
As partes deverão promover a repactuação do valor contratual visando à incorporação dos benefícios decorrentes do RECOPA, tomanto por base os itens da Planilha Estimativa de Desoneração";TRUE;;0.00;0.00;10;FALSE;FALSE;
8;"A";12/12/2010;;;;"Inclusão de nova fonte de recursos que dará cobertura às despesas realizadas no exercício de 2010.";TRUE;;0.00;0.00;1;FALSE;FALSE;
9;"B";17/12/2010;;;;"Alteração nos projetos da obra com a redução do valor total contratado. Também faz parte dessa supressão serviços de demolição executados diretamente pelo contratante.";TRUE;;-25530582.70;;1;FALSE;FALSE;
10;"C";22/02/2011;;;;"Alteração da Fonte dos Recursos Orçamentários.";TRUE;;0.00;0.00;1;FALSE;FALSE;
11;"D";12/05/2011;;;;"Inclusão dos serviços de descalçamento da arquibancada existente com uso de explosivos e exclusão de parte dos serviços de compactação de aterro. A inclusão e a exclusão têm valores iguais não gerando acréscimo ou diminuição de despesa.";TRUE;;0.00;0.00;1;FALSE;FALSE;
12;"E";27/05/2011;;;;"Tornar sem efeito a contratação dos serviços objeto do Aditivo D, mantendo os valores nele existente e incluir novo método de descalçamento da arquibancada existente. O custo do novo método é igual ao anterior, não implicando em alteração na despesa contratada.";TRUE;;0.00;0.00;1;FALSE;FALSE;
13;"F";10/06/2011;;;;"Ajuste de planilha com repactuação de preços e redução de valor do contrato.";TRUE;;-44360.47;;1;FALSE;FALSE;
14;"G";29/08/2011;;;;"Alteração do valor fixado pelo Termo Aditivo F, aprovação da nova planilha estimativa da obra e estabelecer novo valor para o Contrato Principal.";TRUE;;-32009.91;;1;FALSE;FALSE;
15;"117-ST/2010/0010";31/12/2010;31/12/2010;30/03/2011;;"Prorrogar o prazo de execução por mais 74 dias, com início em 17/11/2010, ficando a data de encerramento do contrato em 30/03/2011 passando o prazo de vigência contratual para 554 dias consecutivos. Supressão do projeto básico do Lote 3 (Edifício Garagem).";TRUE;;807649.11;;11;FALSE;FALSE;
16;"044-ST/2011/0010";24/03/2011;24/03/2011;30/05/2011;;"Prorrogar o prazo de execução por mais 61 dias com o término previsto em 31/03/2011 e data de encerramento do contrato 30/05/2011. Ajuste dos quantitativos de planilha.";TRUE;;30830.29;;11;FALSE;FALSE;
17;"075-ST/2011/0010";27/05/2011;27/05/2011;29/08/2011;;"Prorrogar o prazo de execução do projeto por mais 91 dias, com início em 01/04/2011 e término em 30/06/2011 com o encerramento do contrato previsto para 29/08/2011.";TRUE;;0.00;0.00;11;FALSE;FALSE;
18;"120-ST/2011/0010";29/08/2011;30/08/2011;29/12/2011;;"Prorrogar o prazo contratual por mais 122 dias.";TRUE;;0.00;0.00;11;FALSE;FALSE;
19;"01";03/01/2011;;;;"TERMO ADITIVO 01 - READEQUAÇÃO DO CRONOGRAMA DE DESEMBOLSO – 2011";TRUE;;0.00;0.00;13;FALSE;FALSE;
20;"1º";21/12/2010;15/06/2010;15/06/2043;;"Alterações em cláusulas contratuais, de acordo com o arquivo em anexo.";TRUE;;;;14;FALSE;FALSE;
21;"1º";07/04/2008;;;;"Inclui cláusula de aditamento de preços e serviços";TRUE;;0.00;;23;FALSE;FALSE;
22;"2º";11/04/2008;;;;"Complementa a planilha orçamentária";TRUE;;0.00;;23;FALSE;FALSE;
23;"3º";30/04/2008;;;;"Complementa a planilha orçamentária";TRUE;;0.00;;23;FALSE;FALSE;
